part	cluster	size	zValue_mean	zValue_median	zValue_max	zValue_min	zValue_peak_abs	cluster_mass	clsuter_mass_log	peak_x	peak_y	peak_z	peak_region	peak_region_name	num_regions	region_labels
cortex_left	71	42	2.948894012542	2.9141343832016	3.6	2.5	3.60221767425537	120	4.81909980733568	-34.5224113464355	49.6495666503906	31.6823596954346	264	46	1	46
cortex_right	87	1643	3.45732131689261	3.39898657798767	5.7	2.4	5.70244979858398	5700	8.64477322140107	13.6771554946899	-16.6584091186523	75.3533706665039	55	6mp	20	55b, 23c, 24dv, SCEF, p32pr, p24pr, 4, 6mp, 6ma, 5mv, 5ROI, 5m, 24dd, 2, 1, FEF, 3b, 6d, 3a, 6a
cortex_right	92	505	3.33293112717053	3.24948811531067	5	2.5	5.00307083129883	1700	7.42841056447223	33.3988800048828	-40.5589370727539	66.4627914428711	52	2	6	5ROI, 2, 7PC, 7AROI, VIP, LIPv
cortex_right	93	31	2.74748957541681	2.68135619163513	3.2	2.5	3.15660214424133	85	4.44467481756679	30.1304244995117	-26.7811832427979	67.4318771362305	53	3a	2	3b, 3a
cortex_right	95	20	2.67681996822357	2.6527236700058	2.9	2.5	2.91889119148254	54	3.98036178451343	22.7437267303467	-42.0650024414062	73.2298583984375	52	2	1	2
cortex_right	96	141	3.1872713075462	3.13954901695251	4.2	2.5	4.17661476135254	450	6.10792505163662	57.448917388916	-13.8404722213745	48.2410163879395	51	1	3	1, 2, PFt
cortex_right	99	457	3.08936609115851	2.97192072868347	4.8	2.4	4.84498643875122	1400	7.25264931226564	47.416145324707	-25.7598838806152	18.3474407196045	104	RI	9	PF, PFcm, RI, PSROI, PBelt, LBelt, OP1, PFop, OP4
cortex_right	102	80	3.27691774964333	3.2686949968338	4.5	2.6	4.50686264038086	260	5.56892990479065	62.8735237121582	-40.057502746582	15.5642919540405	28	STV	3	TPOJ1, STV, PSROI
cortex_right	103	37	2.82205352912078	2.74971675872803	3.4	2.4	3.43689846992493	100	4.64838273439983	57.8429718017578	-34.0697250366211	-1.27218508720398	129	STSdp	2	STSdp, A5
cortex_right	110	21	2.75369041306632	2.76612162590027	3.2	2.5	3.18906903266907	58	4.05746441815484	46.7995147705078	-2.4484977722168	-9.9124584197998	167	PoI1	2	PoI1, PI
cortex_right	112	55	3.00400187318975	2.97808313369751	3.7	2.6	3.66774249076843	170	5.10727854269933	45.1155204772949	8.0075855255127	8.44287204742432	115	FOP2	2	FOP2, FOP3
cortex_right	113	25	2.95191038131714	2.92798399925232	3.4	2.5	3.38399505615234	74	4.30132837251319	41.8602409362793	29.4441928863525	3.96255421638489	108	FOP4	2	FOP4, FOP5
cortex_right	116	37	3.20665002513576	3.21633052825928	3.9	2.4	3.90921258926392	120	4.77614469897366	16.6289291381836	-83.4581909179688	40.5141487121582	3	V6	2	V6A, V6
cortex_right	117	220	3.50616782253439	3.39929699897766	5.7	2.4	5.69631767272949	770	6.64815119894322	50.564453125	-72.4114990234375	6.81421804428101	23	MT	7	V4t, MST, MT, PHT, FST, TPOJ2, TPOJ3
cortex_right	125	216	3.17472251477065	3.07210743427277	4.3	2.5	4.31363153457642	690	6.53049863928686	61.7870826721191	8.85480213165283	19.2581615447998	56	6v	6	FOP1, 6r, 43, 6v, PEF, 55b
cortex_right	130	24	2.94626619418462	2.87782764434814	3.7	2.5	3.67241668701172	71	4.25859250214228	43.4095649719238	17.7264060974121	-35.5937271118164	131	TGd	1	TGd
cortex_right	146	38	2.82843767341815	2.8341828584671	3.3	2.5	3.25419116020203	110	4.67731066007808	8.63842296600342	55.7692184448242	25.6142463684082	69	9m	2	9a, 9m
cortex_right	147	25	2.98900420188904	2.95874571800232	3.6	2.5	3.60011649131775	75	4.31381611395324	35.9401969909668	50.5307731628418	30.8277359008789	84	46	1	46
cortex_right	155	26	2.81817995584928	2.80967259407043	3.1	2.6	3.13649845123291	73	4.29418780888036	58.3148002624512	0.0648437514901161	-16.3995800018311	128	STSda	1	STSda
subcort	168	161	3.07403407778059	2.97638940811157	4.5	2.4	4.54213619232178	490	6.20439509584963	26	-88	-38	371	CEREBELLUM_RIGHT	1	CEREBELLUM_RIGHT
subcort	193	107	2.99862155067586	2.91150903701782	4.1	2.5	4.12352085113525	320	5.77098153442726	20	-14	-20	376	HIPPOCAMPUS_RIGHT	2	HIPPOCAMPUS_RIGHT, AMYGDALA_RIGHT
subcort	194	135	3.14479580102143	3.09573721885681	4.5	2.5	4.5095477104187	420	6.05102373834982	-18	-12	-20	367	HIPPOCAMPUS_LEFT	2	HIPPOCAMPUS_LEFT, AMYGDALA_LEFT
subcort	215	43	2.86174573454746	2.78723883628845	3.8	2.4	3.83076214790344	120	4.81263195100395	-16	8	-8	364	PUTAMEN_LEFT	1	PUTAMEN_LEFT
